"","precision","recall","model"
"448",1,0.00602960969044415,"VBASS"
"449",1,0.00604306864064603,"VBASS"
"450",1,0.00605652759084791,"VBASS"
"451",1,0.0060699865410498,"VBASS"
"452",1,0.00608344549125168,"VBASS"
"453",1,0.00609690444145357,"VBASS"
"454",1,0.00611036339165545,"VBASS"
"455",1,0.00612382234185734,"VBASS"
"456",1,0.00613728129205922,"VBASS"
"457",1,0.0061507402422611,"VBASS"
"458",1,0.00616419919246299,"VBASS"
"459",1,0.00617765814266487,"VBASS"
"460",1,0.00619111709286676,"VBASS"
"461",1,0.00620457604306864,"VBASS"
"462",1,0.00621803499327052,"VBASS"
"463",1,0.00623149394347241,"VBASS"
"464",1,0.00624495289367429,"VBASS"
"465",1,0.00625841184387618,"VBASS"
"466",1,0.00627187079407806,"VBASS"
"467",1,0.00628532974427995,"VBASS"
"468",1,0.00629878869448183,"VBASS"
"469",1,0.00631224764468371,"VBASS"
"470",1,0.0063257065948856,"VBASS"
"471",1,0.00633916554508748,"VBASS"
"472",1,0.00635262449528937,"VBASS"
"473",1,0.00636608344549125,"VBASS"
"474",1,0.00637954239569314,"VBASS"
"475",1,0.00639300134589502,"VBASS"
"476",1,0.0064064602960969,"VBASS"
"477",1,0.00641991924629879,"VBASS"
"478",1,0.00643337819650067,"VBASS"
"479",1,0.00644683714670256,"VBASS"
"480",1,0.00646029609690444,"VBASS"
"481",1,0.00647375504710633,"VBASS"
"482",1,0.00648721399730821,"VBASS"
"483",1,0.00650067294751009,"VBASS"
"484",1,0.00651413189771198,"VBASS"
"485",1,0.00652759084791386,"VBASS"
"486",1,0.00654104979811575,"VBASS"
"487",1,0.00655450874831763,"VBASS"
"488",1,0.00656796769851952,"VBASS"
"489",1,0.0065814266487214,"VBASS"
"490",1,0.00659488559892328,"VBASS"
"491",1,0.00660834454912517,"VBASS"
"492",1,0.00662180349932705,"VBASS"
"493",1,0.00663526244952894,"VBASS"
"494",1,0.00664872139973082,"VBASS"
"495",1,0.00666218034993271,"VBASS"
"496",1,0.00667563930013459,"VBASS"
"497",1,0.00668909825033647,"VBASS"
"498",1,0.00670255720053836,"VBASS"
"499",1,0.00671601615074024,"VBASS"
"500",1,0.00672947510094213,"VBASS"
"501",1,0.00674293405114401,"VBASS"
"502",1,0.0067563930013459,"VBASS"
"503",1,0.00676985195154778,"VBASS"
"504",1,0.00678331090174966,"VBASS"
"505",1,0.00679676985195155,"VBASS"
"506",1,0.00681022880215343,"VBASS"
"507",1,0.00682368775235532,"VBASS"
