"","recall","mut.rate","mut.rate.rank","model.name"
"1123",0,5.48243169566108e-07,0.0509953367096224,"VBASS.FDR.0.05"
"1124",0,5.29477897391638e-07,0.0483879055307627,"VBASS.FDR.0.05"
"1125",0,5.59230857509493e-07,0.0529509100937672,"VBASS.FDR.0.05"
"1126",0.03,1.59745484456624e-07,0.00641829213257785,"VBASS.FDR.0.05"
"1127",0,4.20611758021984e-07,0.0323923181066038,"VBASS.FDR.0.05"
"1128",0.01,5.83792257224341e-07,0.0566614852329138,"VBASS.FDR.0.05"
"1129",0,5.76427661667309e-07,0.0558591987163416,"VBASS.FDR.0.05"
"1130",0.01,6.0091114038796e-07,0.058968058968059,"VBASS.FDR.0.05"
"1131",0.01,6.15812129452627e-07,0.0612244897959184,"VBASS.FDR.0.05"
"1132",0.01,6.68244437974852e-07,0.0690467833324976,"VBASS.FDR.0.05"
"1133",0.1,4.41041249899787e-06,0.508398936970366,"VBASS.FDR.0.05"
"1134",0,9.3855389842774e-07,0.108609537180966,"VBASS.FDR.0.05"
"1135",0.34,1.14298069186416e-05,0.860853432282004,"VBASS.FDR.0.05"
"1136",0.02,7.01564385660618e-07,0.0738103595246452,"VBASS.FDR.0.05"
"1137",0,6.96494456281933e-07,0.0731083588226445,"VBASS.FDR.0.05"
"1138",0,7.08060720980477e-07,0.074712931855789,"VBASS.FDR.0.05"
"1139",0.01,7.38523572592854e-07,0.0787745073459359,"VBASS.FDR.0.05"
"1140",0.01,7.40992818604744e-07,0.0795266509552224,"VBASS.FDR.0.05"
"1141",0,8.50597014498445e-07,0.0965250965250965,"VBASS.FDR.0.05"
"1142",0.01,7.6458971072007e-07,0.0831369402797974,"VBASS.FDR.0.05"
"1143",0.02,7.80774550024954e-07,0.0854936569222284,"VBASS.FDR.0.05"
"1144",0.01,8.60084095996358e-07,0.0976282404853833,"VBASS.FDR.0.05"
"1145",0,8.24296808998316e-07,0.0932658075515218,"VBASS.FDR.0.05"
"1146",0.04,8.6547637019467e-07,0.0985809557238129,"VBASS.FDR.0.05"
"1147",0,8.81117511467052e-07,0.101037958180815,"VBASS.FDR.0.05"
"1148",0.02,9.16056826087193e-07,0.105550819836534,"VBASS.FDR.0.05"
"1149",0,9.75322590016542e-07,0.113924685353257,"VBASS.FDR.0.05"
"1150",0.01,8.8341278191194e-07,0.101288672717244,"VBASS.FDR.0.05"
"1151",0.03,1.12481775793522e-06,0.134533420247706,"VBASS.FDR.0.05"
"1152",0,1.00754475662056e-06,0.118938976081833,"VBASS.FDR.0.05"
"1153",0,9.37725271656788e-07,0.108308679737251,"VBASS.FDR.0.05"
"1154",0.01,1.07980587648016e-06,0.128766985909843,"VBASS.FDR.0.05"
"1155",0.04,9.88142994974418e-07,0.115880258737402,"VBASS.FDR.0.05"
"1156",0.01,1.20699653800006e-06,0.145314145314145,"VBASS.FDR.0.05"
"1157",0.04,9.95592368909591e-07,0.116782831068545,"VBASS.FDR.0.05"
"1158",0,1.00113972278823e-06,0.117835832121546,"VBASS.FDR.0.05"
"1159",0.02,1.25499582749793e-06,0.151281151281151,"VBASS.FDR.0.05"
"1160",0.02,1.02690654783406e-06,0.121496264353407,"VBASS.FDR.0.05"
"1161",0.02,1.15408336754726e-06,0.137943137943138,"VBASS.FDR.0.05"
"1162",0,1.07272116088797e-06,0.127713984856842,"VBASS.FDR.0.05"
"1163",0.04,1.07057356790646e-06,0.127463270320413,"VBASS.FDR.0.05"
"1164",0.03,1.26871330391191e-06,0.152233866519581,"VBASS.FDR.0.05"
"1165",0.01,1.08212457030073e-06,0.128967557538986,"VBASS.FDR.0.05"
"1166",0.02,1.40644465873372e-06,0.168430025572883,"VBASS.FDR.0.05"
"1167",0.03,1.14294523845903e-06,0.136438850724565,"VBASS.FDR.0.05"
"1168",0.02,1.16263652543422e-06,0.139096424810711,"VBASS.FDR.0.05"
"1169",0.05,1.1696535033768e-06,0.140149425863712,"VBASS.FDR.0.05"
"1170",0.05,1.17379640534439e-06,0.140901569472998,"VBASS.FDR.0.05"
"1171",0.14,4.69090967987387e-06,0.536278393421251,"VBASS.FDR.0.05"
"1172",0.04,1.18290550611804e-06,0.142004713433285,"VBASS.FDR.0.05"
"1173",0.04,1.56978827027719e-06,0.187835330692474,"VBASS.FDR.0.05"
"1174",0.01,1.52210089506011e-06,0.182520182520183,"VBASS.FDR.0.05"
"1175",0.03,1.24603169394894e-06,0.15022815022815,"VBASS.FDR.0.05"
"1176",0.01,1.2742802859834e-06,0.152635009777867,"VBASS.FDR.0.05"
"1177",0.01,1.71372442088428e-06,0.204432633004062,"VBASS.FDR.0.05"
"1178",0.03,1.60446131689737e-06,0.191596048738906,"VBASS.FDR.0.05"
"1179",0.04,1.15766959490829e-06,0.138444567015996,"VBASS.FDR.0.05"
"1180",0.22,5.20143246758865e-06,0.57950157950158,"VBASS.FDR.0.05"
"1181",0.2,5.23739777413995e-06,0.581958581958582,"VBASS.FDR.0.05"
"1182",0.01,1.59062197263305e-07,0.00636814922529208,"VBASS.FDR.0.05"
"1183",0,1.59343308663927e-06,0.190342476056762,"VBASS.FDR.0.05"
"1184",0.01,1.78739772667827e-06,0.211803640375069,"VBASS.FDR.0.05"
"1185",0.03,1.70840037136861e-06,0.203680489394775,"VBASS.FDR.0.05"
"1186",0.03,1.83293536319502e-06,0.217219074361931,"VBASS.FDR.0.05"
"1187",0.04,1.94395997667965e-06,0.230105801534373,"VBASS.FDR.0.05"
"1188",0.04,1.86891153631626e-06,0.222383793812365,"VBASS.FDR.0.05"
"1189",0.06,1.59185247855832e-06,0.190141904427619,"VBASS.FDR.0.05"
"1190",0.03,1.45798229380766e-06,0.174246602818031,"VBASS.FDR.0.05"
"1191",0.05,1.71291289334011e-06,0.204282204282204,"VBASS.FDR.0.05"
"1192",0.01,2.66417444061706e-06,0.314496314496314,"VBASS.FDR.0.05"
"1193",0.02,1.4698723991981e-06,0.175700747129319,"VBASS.FDR.0.05"
