"","PC0","PC1","PC2","training.label","louvain.clust","k.means.clust","log_pi","posterior.label"
"G3BP1",-3.3100631871821,0.181911018538632,-0.827278019842725,NA,"0","3",-3.2871377,NA
"WNT7B",0.798859798847814,-0.127608790676702,-0.0856586660425402,NA,"0","1",-2.6700249,NA
"BDP1",-2.99960279242245,0.175415657444284,0.769162529198715,NA,"0","2",-3.081035,NA
"RNF217",0.93638967182554,0.134332730768911,-0.00146849562187724,NA,"0","1",-3.5554852,NA
"CBX4",-0.40196400122457,0.267156154033204,0.498118505050836,NA,"0","2",-2.5587106,NA
"NME8",1.38222327957382,0.156730027389058,-0.0174405042622946,NA,"1","1",-3.4103475,NA
"DCUN1D3",0.952223220819066,0.0105619251170963,0.0104561061008055,NA,"0","1",-3.6288471,NA
"ENC1",-4.22398000663466,0.103647805534622,1.3070272490279,NA,"0","2",-3.234679,NA
"UBB",-7.07956878866413,1.89561988501064,0.0623974152466648,NA,"0","1",-3.2587101,NA
"NEO1",-1.47221876361247,0.612052412463551,0.50318868286939,NA,"0","2",-3.1680954,NA
"SLC4A10",0.0254940616712855,-0.392309560394801,0.610092560809298,NA,"0","2",-3.1521955,NA
"BRF2",0.571561295041165,0.210419448608735,-0.0549980622282804,NA,"0","1",-3.40549,NA
"PSMD11",-3.33703787782614,0.237659713154372,-0.304492599030363,NA,"0","3",-3.243485,NA
"NR2F1",-2.49130163941672,2.04896599093195,-0.137704808309418,NA,"0","1",-3.313757,NA
"CASK",-1.62073536502628,0.399806843339813,0.678958114087144,NA,"0","2",-3.0334892,NA
"SARM1",0.215960024493793,0.470520119343815,0.128875725666955,NA,"0","1",-3.4626775,NA
"TPST2",0.647137102518744,-0.294321951953018,-0.0184588182369875,NA,"0","1",-3.7565372,NA
"FPGS",-0.0481208440281197,-0.450628266641006,-0.177206052053225,NA,"0","1",-3.2680447,NA
"QRICH1",-1.21029107934465,-0.400460284520705,-0.0900122853711329,NA,"0","1",-3.3143377,NA
"LRP10",0.743293339372092,-0.0153657649222247,-0.137309498975763,NA,"0","1",-3.5782218,NA
"CD101",1.2753565082587,0.0997368726592392,0.00256924116553179,NA,"0","1",-3.5397155,NA
"INTS7",-0.281343370887867,-0.34378888880729,-0.0743530109103692,NA,"0","1",-3.0475101,NA
"SMAD4",-1.48269904965728,0.244613993966459,-0.182904591460847,NA,"0","1",-3.2112362,NA
"STARD10",0.321707092722003,-0.652764888805519,0.02353942526559,NA,"0","1",-3.463864,NA
"CNTNAP3",1.28914785689818,0.134923465585046,-0.0375483182053295,NA,"0","1",-3.602186,NA
"DHX37",0.975884687132299,-0.0267559599362468,-0.0228654879483246,NA,"0","1",-3.6630602,NA
"GABRB3",-1.81693935794642,0.398355610461854,1.18788839233229,NA,"0","2",-3.053057,NA
"NDNF",1.20189438102548,0.300074308271509,-0.0652103896319466,NA,"0","1",-3.4685786,NA
"FARP2",0.885598632551629,-0.0289557302690086,-0.0351779344195592,NA,"0","1",-3.715399,NA
"SLF1",-1.43347981357292,-0.0284479494351022,-0.59440789349145,NA,"0","3",-3.266777,NA
"HDAC4",0.107968501530333,0.0284966177879014,0.0747173859850145,NA,"0","1",-3.3482478,NA
"CNGB3",1.37061011797556,0.144422545028546,-0.0112328610902275,NA,"0","1",-3.4419239,NA
"PCDHGA8",1.24474910376203,0.100148101650926,-0.00304609748311679,NA,"0","1",-3.3170228,NA
"TSPAN4",0.829532576823021,-0.0427281696153008,-0.10292964181979,NA,"0","1",-3.4433396,NA
"FUK",1.38222327957382,0.156730027389058,-0.0174405042622946,NA,"1","1",-3.4103475,NA
"SULT1A1",0.838343760845922,-0.11629849404939,-0.0389329846020689,NA,"0","1",-3.5952668,NA
"NTS",0.996759163373661,0.0869914334609551,-0.11560753001614,NA,"0","1",-3.0502071,NA
"MAN1A1",0.820227816752446,-0.019674080447249,0.0904179407957298,NA,"0","1",-3.491646,NA
"FAM57B",1.38222327957382,0.156730027389058,-0.0174405042622946,NA,"1","1",-3.4103475,NA
"RFX8",1.32868517998433,0.165704639101904,0.0231277859226324,NA,"0","1",-3.4564385,NA
"NACC1",0.551069362555425,0.0332159616006349,-0.043392597057563,NA,"0","1",-3.4598527,NA
"ZSWIM4",0.469368302460414,0.102184019186955,0.250148768243691,NA,"0","1",-3.321903,NA
"PPCS",-0.871465400445706,-0.584595057716769,0.00827648277779338,NA,"0","1",-3.4473133,NA
"SUSD4",0.752916563888111,-0.038981449837079,0.198042055696564,NA,"0","1",-3.7616458,NA
"TMEM165",-0.958923257432605,-0.636750114132578,0.075699141981317,NA,"0","1",-3.4268124,NA
"RIMBP2",0.274098201758759,-0.157073086071944,0.646198489366174,NA,"0","2",-3.3685234,NA
"PSMD6",-2.94895801569743,-0.452418321011232,-0.591576393119847,NA,"0","3",-3.4004872,NA
"ITPKA",1.2404039356422,0.0714936883765472,-0.0225220384578082,NA,"0","1",-3.5682833,NA
"MSL2",-0.0245915281420392,0.0440783377313149,0.201698560680694,NA,"0","1",-3.1369698,NA
"RNF146",-1.34523576555834,-0.289267645836971,0.58434309230182,NA,"0","2",-3.2831142,NA
"NSD2",-2.96120013928322,0.813906277953576,0.167190600419345,NA,"0","1",-3.200473,NA
"SOX11",-6.48905403710488,1.44776182043222,0.741305107494198,NA,"0","2",-3.11344,NA
"SLC34A1",1.37734733275037,0.152229183115026,-0.0175366257711632,NA,"0","1",-3.409475,NA
"ADPGK",-0.127912697791028,-0.462337452083001,0.0112969547109334,NA,"0","1",-3.5204155,NA
"TCERG1",-3.01533696277083,0.117990368373163,0.284803480600652,NA,"0","2",-3.1806202,NA
"ZBTB18",-2.72456221358886,-1.18585652167509,-0.330822111694437,NA,"0","3",-3.338388,NA
"TAF6",-0.383073094164863,-0.2292488786819,-0.219671204504586,NA,"0","1",-3.3507643,NA
"BCL11B",-1.74938229026076,-1.42051377536077,0.485133365772631,NA,"0","2",-3.1577222,NA
"PPM1M",1.05522893084321,-0.0522361492516506,0.0594574787551699,NA,"0","1",-3.299363,NA
