"","real.log.BF"
"TM4SF19",-6.35079501793955
"SLC35D2",-5.5665736033801
"OVCA2",-5.40895410708882
"MTHFS",-6.36950341776137
"SOX5",-9.01922741150763
"AADACL4",-6.38289365886658
"SYT1",-1.9093076767809
"CYLC1",-3.58611356815473
"ZNF76",-7.2715197285207
"EXT1",-8.97593636855323
"NALCN",-12.5784408747848
"PIN1",-7.55362026435698
"RRAGC",-4.69323870544581
"EDAR",-6.46879196747678
"RPL12",-2.89850117627708
"EAF1",-5.0456627522747
"LSM1",-5.63856896387847
"TMEM91",-5.32062241197688
"SPDYC",-6.4294576439072
"IFI30",-9.54817410971573
"BTBD2",-7.06364525788797
"OVOL1",-6.41260301388527
"EDF1",0.00732373196003454
"ZNF346",-4.18183674528905
"TM4SF1",-6.18319982865136
"TSSC4",-7.96025594344875
"TMEM147",-9.74306877362602
"YRDC",-5.54734770404076
"WFS1",-8.02076903496907
"PSD3",-0.73392137962594
"NET1",-6.26435843444948
"OBP2A",-6.38814246842474
"ORM1",-6.39303401800136
"BNIP1",-6.70371221767508
"CD163L1",-7.35103444331836
"TIGAR",-7.76139162610999
"ZC3H8",-2.40850349612219
"PDCD1",-6.43584004063682
"KAZN",-2.0635105272949
"CLEC3A",-6.46031607652952
"UBE2J2",-7.16540518602169
"DEK",-4.33370920403914
"PPP1R3D",-5.68481758562368
"HIST1H4F",-6.79643733267611
"DCAF11",-9.34279103540234
"ADCY5",-8.78494933356862
"MYOZ2",-6.91005217349071
"HAVCR1",-4.41677177223771
"TRAM1L1",-6.39605990244128
"RPUSD1",-6.88677695187511
"KIR2DL3",-6.42985803147368
"LYPD5",-6.42602884716412
"ACBD6",-8.73252327092916
"SYT7",3.12017065560853
"APOL4",-6.76947184691333
"NKIRAS1",-2.91411081391079
"LRRC4C",-4.0086496221491
"KDM1B",-7.07962263869147
"NCCRP1",-6.48526743449574
"MRPL52",-6.85067194477767
"MRPL14",-5.39873096413055
"GCNT7",-6.96581972672111
"CPD",-5.69329230100304
"PRPS1L1",-3.59736706121324
"TMBIM6",-1.41653483805541
"METTL26",-6.51662719299064
"RNASEH2A",-8.15412482190146
"NECAP1",-1.52119747080732
"BPIFB3",-6.47236808859098
"ZFP36L2",-7.48448994017443
"ABHD12B",-6.87567307316129
"EFCAB2",-5.11139319798374
"CCNO",-6.50894469617685
"PAFAH1B3",-4.52189709264645
"ASCL4",-6.6248191629144
"RSC1A1",-6.50725364696301
"CCT7",-6.65759049329441
"TMEM82",-6.55705483226566
"NPBWR1",-6.63033862680904
"IGFBP2",-5.71247003991418
"CDC42EP4",-5.80923749742421
"DTYMK",-8.91644598074813
"STAP1",-6.54958239888575
"GNB2",-3.81873089774855
"MFSD3",-6.48314438167973
"PAK1IP1",-1.98904302811004
"RPL15",1.07943026991262
"LRRC14",-5.95984053486107
"DSCAML1",-10.3298676186454
"EEF2",-6.06078616720472
"N4BP2L1",-4.2151300564612
"ITGB1BP1",-6.66754497754523
"PCGF3",-2.93143571014979
"FERMT2",-4.76387397784316
"TRIML1",-6.55712613166283
"EIF4E3",-5.83097707323326
"CADM2",-2.26876496315349
"RTL3",-6.5327848657519
"PPP4R2",-4.62842198587528
"GRIK2",-4.05817279400436
"MCHR2",-6.42016456040204
"TUSC1",-6.44133480699444
"GPR171",-4.9544089555837
"VWA7",-5.56356828199166
"IGF2",-4.86003862554938
"H3F3B",-0.99039332428416
"SLC35A5",-3.22813074569347
"PDGFC",-6.35489812851052
"ARHGEF7",-3.41491819191708
"IDH3G",-7.49594485412303
"SPC25",-9.94502812237455
"NIFK",-2.26502836954576
"SULT1B1",-6.59868371669438
"CRIP2",-4.58080936221978
"XXYLT1",-2.95678615666149
"TMEM45A",-3.65163135280516
"CACNA2D3",-7.84913104353457
"RASGEF1B",-7.19589908597622
"SCGN",-7.69752992502372
"FAS",-6.50404753904541
"PPA2",-4.16657325228197
"THEGL",-6.55932795516317
"C6orf106",-5.53256418455301
"PCDHB4",-6.70060499599265
"SORD",-7.13893419314285
"THOC7",-8.29363522570908
"PLVAP",-8.56481233838843
"XKR3",-6.55265111357573
"CDH10",-4.61252944907799
"APH1A",-6.98700393985503
"GTF2I",-6.32366881998259
"SLC35G1",-7.00458553712505
"IPP",-7.68979320003528
"ASPN",-6.73878557134677
"PDCD2",-5.90195135397663
"RTRAF",-6.66281003536244
"C18orf54",-6.0858994390297
"LIPI",-6.67877293053716
"LIN7B",-6.25201185460772
"HYKK",-6.60363595302604
"KLRG2",-6.59978916646041
"GFY",-6.79673287866835
"GALNT14",-8.61393260788972
"SLC36A4",-3.66272930278358
"OSR2",-6.85090874134367
"CAB39",1.85795133388741
"PSD",-6.00998529492086
"RAB2A",-1.17268345206703
"ARRDC1",-7.44386782871697
"CBX1",-0.40801823724483
"GNB5",-5.69895302409584
"MMD",-0.560495355603788
"ZNF578",-5.86560261461617
"FAM217B",-2.33209609751894
"DBR1",-5.56122484133956
"LRTM2",-6.64695076319803
"SARAF",-1.56514789686198
"C1QL3",-6.72480513194417
"POPDC2",-6.16311259818171
"GPR152",-6.65884641348601
"OSER1",-5.94732147837499
"PYHIN1",-6.49168144782185
"FSCB",-6.61516068060948
"CCR7",-6.14573285204345
"TOR1AIP2",-4.21589095144508
"ZNF362",-0.821646171216073
"FOXD3",-5.65761612248259
"ENTR1",-6.63943089170013
"HELZ2",-7.46370886971075
"CCDC115",-7.22382065754387
"GDPD4",-6.6409539244507
"HNRNPU",-3.15252432344438
"NXPE4",-6.65545315602314
"VCL",-6.1256598787798
"PLIN2",-6.64478366273984
"ZNF697",-3.5821283843213
"AXIN2",1.35190735183487
"PNPLA7",-10.1882872641945
"ST3GAL6",-7.33831936901976
"PLIN4",-5.76720290920053
"SCAMP2",-7.3305705534977
"ZNF517",-6.59479005608087
"LRRC74A",-6.67690475135727
"TANC2",-3.08864251522303
"RETREG2",-6.70407387688427
"TP53I13",-8.30445723013234
"HIBADH",-7.68974272852496
"CD63",-4.11577764296468
"AMD1",-4.10512997438943
"GABRB1",-5.14046666863341
"TNFRSF19",-2.5004170699047
"CCIN",-6.75407217390477
"DBX2",-6.22388115947914
"CACNG3",-6.84246418035889
"STMN4",-2.3358684978077
"TDO2",-7.52528164837894
"STN1",-6.70891943375149
"FCRL6",-6.66820332352452
"NME9",-6.74992806781451
"PSMB5",-4.63621764939977
"NOXO1",-6.66357965301063
"TMEM102",-6.68704564388167
"FGF14",-4.28542332423816
"CRAMP1",-8.40836711725372
"ICE1",-5.28139047083653
"PRSS38",-6.78636758852686
"BTNL8",-6.66607323005021
"RPL11",-2.50862833128418
"STPG2",-6.69217869016721
"SYCE1",-6.69181551765613
"RNF220",-5.52487212845899
"GALR2",-4.96225201478067
"OSBPL7",-8.12482850485992
"FAM200A",-4.95447426755449
"TRIM38",-4.68056525260709
"TLDC1",-6.61005530484315
"RPGRIP1L",-6.22701604765635
"HSPA13",3.06870883047252
"SEC11A",-1.92110840650669
"ST6GALNAC2",-6.74548456391318
"PRDM16",-7.06050482836955
"PAFAH1B2",0.710557423072872
"ING2",-4.18429058375137
"SLC24A1",-8.11624703126357
"PIP4K2B",-1.71676380335166
"BTBD16",-6.73238950601565
"NAA40",-6.16763946370045
"GSDMC",-7.01231311498652
"SMAP2",-6.44414883566771
"PEX11B",-7.89126327689452
"LRRIQ1",-5.3606076152382
"FOS",0.179913682806357
"E2F6",-6.46176437092035
"NFIL3",-2.13252302476531
"CYBRD1",-4.90440399634212
"PPP1R7",-7.36788895076525
"SLC35A3",-6.97591135218115
"SRPK2",-5.1724247310542
"PRPF4B",14.3489473596658
"POC5",-8.02852932862267
"RNF212B",-6.80156541654392
"ELOVL2",-5.29211879375383
"CDK18",-3.30978432528008
"INSIG1",-2.20260079034441
"MKS1",-8.48573585537342
"FAM200B",-5.65716078667915
"GPR26",-6.16140991610198
"HIC2",-2.78650184938886
"RAB40B",-5.53515334799695
"ADAR",-0.219603980521123
"LRRC17",-3.87846329840502
"BTN1A1",-6.80118389801369
"PRRT1",-6.83606981048665
"NAXE",-4.94349965302316
"FANCL",-3.85953186141229
"BTBD19",-6.77589675402149
"ELAVL2",-1.30266699760529
"RHOV",-5.24629446074148
"SERPINE3",-6.84121265592845
"PSG9",-6.7605791819674
"UNC93B1",-7.51953518515249
"MIDN",1.55896162899246
"HCRTR1",-6.78449721112561
"ASB4",-5.91212962563715
"CDH12",-7.42881500671461
"HOXD1",-6.88198837019944
"SIGLEC8",-9.51090716005151
"SLC35A2",-6.46128862487909
"ZNF548",-4.23416544168791
"DOCK8",-14.3852194739156
"TBPL2",-6.85873993332965
"CORO1C",-0.953736557317227
"DNAJC8",10.4715711347634
