"","pi"
"NBPF20",0.363367498820586
"ZNF71",0.0274668763167797
"EFCAB9",0.00350135298559515
"C2orf72",0.02092471158313
"PTMS",0.190217689895493
"ZNF580",0.00784250067974704
"ARF3",0.00162649744708041
"MLANA",0.00258490807047733
"LLPH",0.00233427679371502
"LSM10",0.00190397205137435
"GSTA2",0.00350135298559515
"C3orf56",0.00351021267690024
"BST2",0.000253736137568204
"WASHC3",0.00350135298559515
"GATC",0.0374118245951845
"TGFBR3L",0.00209734181933413
"VIP",0.0048483378901902
"UBA6",0.2590724736809
"NUDCD2",0.00099188476840431
"FCER1G",9.96199992187854e-05
"YWHAZ",0.463284082526645
"MKX",0.00350135298559515
"BPIFA1",0.00350135298559515
"IL3",0.00350135298559515
"VPREB3",0.00261602617716616
"ABCC5",0.0541890025792249
"MDFI",0.00456220413490536
"CA3",0.00338598279819169
"CD59",0.0119760262592845
"C4orf19",0.00146151410720047
"CARHSP1",0.00124800870093551
"CDH13",0.187918921254631
"CORO2B",0.0386792486236781
"NDUFB6",0.0300456984050487
"UMODL1",0.0072623671300763
"MRPS28",0.00129417812528543
"HHAT",0.00257882708791004
"SPP2",0.00350135298559515
"ASB17",0.00350135298559515
"PLA2G16",0.000967493115375863
"SLC6A13",0.00365148362799864
"PCDHA8",0.0125313830113165
"TMEM179",0.0166867721305192
"ZNF781",0.17182185206404
"C11orf24",0.0015559070558871
"GALNT18",0.011182022923606
"GADD45G",0.0153651647043405
"TLR3",0.00323164069985517
"IL27",0.00350135298559515
"ISL2",0.00350135298559515
"ARHGAP18",0.00625122045374039
"NCKAP1L",0.000473907651251202
"GLYAT",0.00350135298559515
"CST2",0.00350135298559515
"GHRL",0.00351021267690024
"ZDHHC2",0.0016869814538567
"PTPRE",0.00303532147268236
"SNAPC4",0.028757969132051
"KRTAP10-6",0.00350135298559515
"PRR32",0.00350135298559515
"TMEM39B",0.0203803350555832
"LYPD4",0.00351909378984691
"TMEM249",0.0104180341928812
"FPR3",0.00350135298559515
"DCDC2B",0.00294835531061024
"EBF1",0.493727364760388
"MADCAM1",0.0035279963724462
"AMPD1",0.00351021267690024
"DOT1L",0.0121460422726346
"RNF151",0.00350135298559515
"PRDX6",0.0285930715948095
"AIF1L",0.00124008062027687
"IL20",0.00351909378984691
"LSM3",0.00143900390644955
"MORN4",0.0345856924917687
"FAM168B",0.158780261053266
"GLTP",0.0247335443403914
"LDLRAD2",0.00340418685206666
"C6orf47",0.00136210091246207
"SCARA3",0.00156283547428702
"KRIT1",0.048548719419889
"GPR31",0.00350135298559515
"PABPC1L",0.0017578251559584
"GPX4",0.000517689904680002
"ABTB1",0.0014183887995708
"SIRPB2",0.00350470426624208
"ITSN1",0.106783842888151
"TCF12",0.0100098734651885
"PRKD3",0.00169111920042221
"KLC1",0.485804207938523
"TPRX1",0.00350135298559515
"C2orf40",0.00239254002508232
"CHCHD4",0.00471399852440187
"UPP1",0.00814360320580961
"DESI2",0.065048388564953
"PRR23A",0.00277634969765322
"OLFM3",0.140252913594714
"NUDT4",0.00391992209499727
"SNX22",0.00614893027552207
"TIFA",0.00167735770032781
"EPHB1",0.16027189137412
"C11orf68",0.0095442075370227
"CACNA1D",0.0195951460909004
"KIRREL3",0.0214317856288242
"PRR30",0.00350135298559515
"ATOH1",0.00350135298559515
"NUAK1",0.10524925030403
"GVQW3",0.00350135298559515
"TCTE3",0.00334215896595291
"GARNL3",0.00524463073566258
"CALHM3",0.00351021267690024
"EMCN",0.010747974735322
"EFCAB8",0.00350135298559515
"FAM177A1",0.0158271771519224
"SPRY1",0.0120206438829359
"NCAPG",0.00262316472913579
"AZGP1",0.00370848680375221
"RGS2",0.106181171092056
"ARHGDIB",0.00113944171955519
"ADTRP",0.0035279963724462
"CD151",0.00313734683907987
"G3BP2",0.393962574082533
"CXXC5",0.0346456239708679
"RESP18",0.00364170250243753
"EOGT",0.00390455465978164
"TKT",0.00474655736975884
"NT5M",0.00567305791158843
"KATNAL1",0.328635083336839
"IFI44L",0.0103989222999758
"VGLL2",0.00360337563609804
"RWDD2A",0.00310338354357082
"MPLKIP",0.000393275682175967
"IFNG",0.00350135298559515
"EMC9",0.00896381117927911
"KIAA0319",0.00909303146160968
"BAD",0.000654417002677722
"POLRMT",0.00211906985640728
"CEACAM19",0.00801332979829035
"C20orf173",0.00382829261547704
"ARL13A",0.00350135298559515
"ASF1A",0.0242973964969229
"FAM71F2",0.0344040191369656
"MYL12A",0.0171429998509051
"NEFM",0.410809978830667
"CELA3A",0.00350135298559515
"CDK13",0.0820097421403752
"KIF9",0.0138701556933051
"HES5",0.0136818898900355
"VSIG2",0.00470075458583796
"TMEM241",0.00424271541262882
"SPIC",0.00350135298559515
"NSMCE1",0.00221381662326933
"BRF1",0.0901921895599674
"TM4SF19",0.00350135298559515
"SLC35D2",0.00803881012765737
"OVCA2",0.00951018959844744
"MTHFS",0.00359856189167136
"SOX5",0.00101663305301091
"AADACL4",0.00351021267690024
"SYT1",0.407549078297361
"CYLC1",0.00351909378984691
"ZNF76",0.00341545076847754
"EXT1",0.00648834335872202
"NALCN",0.0191939432992547
"PIN1",0.00115632092339466
"RRAGC",0.0397390318256503
"EDAR",0.00351021267690024
"RPL12",0.106102735739342
"EAF1",0.0137845680130284
"LSM1",0.00751218829724774
"TMEM91",0.0106147574420207
"SPDYC",0.00335332671670116
"IFI30",0.000152074746193113
"BTBD2",0.00193571091445979
"OVOL1",0.00350135298559515
"EDF1",0.121403217529372
"ZNF346",0.0314255495190997
"TM4SF1",0.00436333100949142
"TSSC4",0.000737148924394818
"TMEM147",0.00012864473937796
"YRDC",0.00881197667448402
"WFS1",0.00612245673521542
"PSD3",0.273956506587919
"NET1",0.0215977375649385
"OBP2A",0.00350135298559515
"ORM1",0.00350135298559515
"BNIP1",0.00270790465077456
"CD163L1",0.0179452220568825
"TIGAR",0.0010096455626123
"ZC3H8",0.163369567628423
"PDCD1",0.00350135298559515
"KAZN",0.0939830910082866
"CLEC3A",0.00351909378984691
"UBE2J2",0.00177384011908533
"DEK",0.0280528147613623
"PPP1R3D",0.00804280067702162
"HIST1H4F",0.0028154800631168
"DCAF11",0.00105280609465129
"ADCY5",0.0307605171605891
"MYOZ2",0.00234118523582912
"HAVCR1",0.00402683081763215
"TRAM1L1",0.00390624075445671
"RPUSD1",0.00236772634877259
"KIR2DL3",0.00351909378984691
"LYPD5",0.00363038618383411
"ACBD6",0.0003688655637949
"SYT7",0.1691474637572
"APOL4",0.00252618884050382
"NKIRAS1",0.0203345147145296
"LRRC4C",0.0831729823660762
"KDM1B",0.0104572527185596
"NCCRP1",0.00345918033603902
"MRPL52",0.00234928536401737
"MRPL14",0.00170639947190604
"GCNT7",0.00215766754403349
"CPD",0.107485756771763
"PRPS1L1",0.00350135298559515
"TMBIM6",0.365905211124023
"METTL26",0.00350135298559515
"RNASEH2A",0.00140500071053658
"NECAP1",0.347212760809197
"BPIFB3",0.00350135298559515
"ZFP36L2",0.00136435498515186
"ABHD12B",0.00241802152249773
"EFCAB2",0.0144941611884454
"CCNO",0.00362668865519818
"PAFAH1B3",0.0255887639393576
"ASCL4",0.00350135298559515
"RSC1A1",0.0034632009146366
"CCT7",0.0169507925151317
"TMEM82",0.00350135298559515
"NPBWR1",0.00350135298559515
"IGFBP2",0.00830428586889111
"CDC42EP4",0.00748757016097555
"DTYMK",0.000359212329777732
"STAP1",0.0035279963724462
"GNB2",0.102599223339894
"MFSD3",0.00392847226488803
"PAK1IP1",0.00705567169367816
"RPL15",0.493681527136739
"LRRC14",0.00617027263584407
"DSCAML1",0.00593321410387002
"EEF2",0.119233012852441
"N4BP2L1",0.0022824317392957
"ITGB1BP1",0.00314412922222699
"PCGF3",0.120129463607549
"FERMT2",0.103852857257437
"TRIML1",0.00351021267690024
"EIF4E3",0.00727673978861331
"CADM2",0.363815668145343
"RTL3",0.00350135298559515
"PPP4R2",0.0238281427526128
"GRIK2",0.145829704785595
"MCHR2",0.00407512656777989
"TUSC1",0.0040018926652543
"GPR171",0.00278784644474193
"VWA7",0.00354839499608563
"IGF2",0.00350135298559515
"H3F3B",0.499598202592476
