"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"ABCD1",30,41,6,7,6,6,5,10,6,5,2,8,4,4,7,3,2,2,1,1,1,1,2,2,0,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA1549",351,246,86,69,59,36,43,38,43,44,38,40,19,11,23,13,10,5,1,8,8,5,5,2,13,39,25,18,5,17,9,7,8,22,10,9,11,9,10,9,9,3,8,10,9,13,2,8,7,3,6,2,10,12,5,6,7,9,7,4,7,3,3,5,4,4,1,8,7,7,10,1,4,9,7,2,5,2,2,1,0,0
"NUP210",107,66,15,36,11,13,7,29,11,4,12,17,8,12,7,7,8,1,1,0,3,2,6,1,6,7,7,5,5,1,4,4,2,4,5,0,2,0,2,4,3,0,7,0,1,2,0,3,1,2,1,0,1,2,2,0,2,0,1,1,1,0,1,0,1,2,1,1,1,0,0,1,5,1,0,0,0,1,0,0,0,0
"GBA2",124,110,40,24,24,31,18,18,17,14,18,26,14,4,8,9,5,3,3,5,3,0,5,3,28,22,8,13,16,1,6,7,3,8,8,9,4,15,7,3,3,3,5,10,5,10,1,9,9,7,4,1,6,5,5,1,5,4,2,2,2,2,3,5,1,4,3,3,3,2,7,0,4,2,0,3,2,2,1,3,0,0
"PLEKHA5",335,197,57,76,38,55,32,53,48,40,33,38,22,31,13,12,3,9,6,3,6,4,7,3,36,44,35,18,23,18,41,29,7,21,21,13,16,6,6,33,31,17,14,9,6,11,9,14,19,5,16,7,9,9,13,6,3,6,9,6,15,4,6,8,4,14,4,5,9,9,9,4,11,4,5,5,6,3,5,2,0,0
"ABCB11",2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"CACNA2D4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"SLK",218,149,53,61,43,50,30,48,20,48,29,34,22,28,18,14,9,6,7,2,7,6,3,3,26,23,15,6,17,11,10,8,5,9,9,4,4,17,1,10,10,5,3,1,2,8,2,4,6,12,7,5,2,2,5,1,3,4,2,5,2,3,5,0,2,6,2,3,3,4,3,2,7,0,0,4,1,3,1,1,0,0
"ATP2B1",394,274,107,79,63,57,42,49,48,45,52,48,29,16,32,23,14,6,7,10,9,6,10,6,42,38,27,24,25,33,15,19,10,28,17,16,12,13,10,11,19,6,10,9,17,24,7,14,9,7,15,7,18,7,7,9,7,5,7,4,10,7,8,10,4,7,4,3,15,7,9,7,6,7,3,1,6,3,1,5,1,1
"ADGRL3",284,227,50,71,47,15,29,7,39,32,43,38,4,1,18,6,10,5,3,7,7,0,6,2,21,48,44,20,16,14,16,14,23,27,10,10,7,15,12,14,12,9,8,12,13,11,5,5,17,5,7,6,11,3,12,15,12,6,6,6,6,5,8,4,5,7,2,7,7,4,8,5,5,4,3,7,7,5,6,3,0,1
"COL5A2",45,32,8,26,5,2,3,4,9,4,7,9,1,1,4,1,3,2,0,0,2,0,0,0,81,30,23,12,43,8,17,12,5,4,7,0,6,14,3,16,15,7,6,3,0,6,2,5,9,13,7,0,1,4,1,2,2,1,3,4,7,5,1,0,1,4,1,2,1,1,3,4,7,2,2,2,1,0,1,2,1,1
"KIF5B",470,283,131,116,78,84,70,78,61,72,54,46,49,37,35,31,19,17,12,14,11,11,10,6,68,54,43,27,39,25,31,25,25,22,31,24,27,36,12,25,29,18,15,18,18,22,15,18,12,17,15,14,13,8,11,11,13,13,9,9,13,8,13,12,6,8,10,8,5,9,9,8,8,8,6,6,9,7,4,5,0,0
"FANCI",98,47,17,55,11,14,4,48,7,4,26,9,3,21,3,9,8,1,1,3,6,6,1,2,6,16,14,3,5,4,14,10,11,2,18,1,2,1,5,13,18,4,8,4,2,4,3,7,0,1,9,1,4,0,0,4,10,0,0,11,6,4,4,0,1,1,5,0,0,0,0,2,2,2,0,2,1,1,0,0,0,0
"CNTN2",259,114,36,57,31,33,22,27,32,20,16,16,12,6,11,12,6,0,2,4,3,1,4,1,2,11,3,12,0,8,6,3,2,9,6,26,4,2,4,4,5,3,2,8,4,12,9,16,1,0,6,5,9,5,1,1,0,11,3,1,0,1,0,5,3,0,1,2,5,3,4,4,1,0,0,8,7,5,6,1,0,1
"CLTCL1",69,50,10,16,10,6,3,3,9,5,5,12,7,0,4,3,2,1,1,2,2,1,1,1,2,3,2,7,3,1,1,0,2,1,2,0,0,1,1,1,2,1,1,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,1,1,1,0,1,1,0,0,0,1,0,0
"MAN2B2",129,110,34,31,18,11,4,10,8,7,14,19,12,2,11,4,2,1,3,1,0,3,6,4,5,9,15,5,5,2,4,1,5,3,3,5,1,3,3,2,2,3,1,2,3,1,0,4,8,2,2,0,1,4,6,2,0,2,1,0,1,2,1,0,1,1,0,1,1,1,1,0,2,0,1,1,0,0,0,2,0,0
"STARD9",57,73,17,20,11,4,3,16,6,5,11,17,6,4,3,2,3,1,0,1,2,5,0,1,27,14,5,3,14,2,2,4,3,2,3,3,3,13,1,7,3,2,4,2,4,1,3,4,3,4,3,2,4,2,3,0,4,3,0,0,3,3,0,1,0,1,0,1,1,1,2,1,2,3,0,2,1,1,0,0,0,1
"MATN2",25,26,9,7,7,3,1,2,7,2,12,6,1,2,5,2,3,0,0,0,0,0,1,1,3,3,0,0,2,0,0,0,1,1,0,0,0,8,1,3,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"HELLS",140,51,21,74,20,23,6,50,12,14,25,11,20,27,8,10,9,3,4,2,1,11,2,0,13,17,15,6,13,9,22,15,10,2,25,3,8,3,4,15,24,11,14,4,2,7,9,10,2,3,12,3,3,2,1,4,8,1,1,6,6,3,3,3,1,2,6,0,0,0,2,2,7,1,0,4,1,3,1,1,0,0
"MEN1",160,109,30,44,20,15,6,23,16,7,16,15,2,6,9,0,4,3,1,1,3,1,3,3,13,8,9,7,11,7,3,3,3,4,6,1,3,6,4,9,9,3,2,5,3,2,3,4,4,3,1,1,3,1,4,0,5,2,2,2,2,2,1,0,1,1,2,2,0,0,2,0,1,0,0,0,2,1,0,1,0,1
"ARAP1",93,96,26,29,19,14,19,15,11,13,14,18,2,2,20,3,6,2,0,2,4,4,6,6,16,16,13,4,8,3,1,0,4,1,2,1,2,2,3,2,2,1,3,0,2,0,2,1,3,3,2,0,3,0,1,3,1,1,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
"PPIP5K2",357,232,86,92,54,61,46,51,47,50,43,41,25,21,22,24,13,10,12,8,8,6,5,4,20,27,17,28,13,23,16,10,12,17,10,24,10,8,10,10,9,7,6,11,13,13,7,16,6,3,4,9,11,5,7,3,7,8,8,5,4,3,5,11,5,5,3,7,7,5,7,5,4,1,3,4,6,5,2,5,0,3
"ANO8",65,64,12,9,6,7,4,6,7,5,10,24,1,1,8,1,2,1,0,0,0,2,1,0,4,14,16,11,4,4,7,1,8,13,0,2,1,2,3,4,3,2,2,3,1,4,0,4,1,0,1,1,7,4,0,4,1,5,3,2,1,1,0,1,2,2,1,3,5,4,3,4,0,0,3,0,3,2,0,2,0,0
"EPHA8",6,15,1,2,1,0,0,2,2,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,2,2,1,2,1,3,0,0,2,2,2,0,0,0,1,2,0,0,0,3,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,2
"CDK5RAP2",236,165,52,71,30,32,25,52,27,17,31,31,11,25,21,9,9,5,2,2,6,4,6,1,19,18,22,10,13,11,17,10,14,7,15,6,8,5,10,12,11,10,13,3,3,8,2,4,9,4,9,3,7,1,1,7,4,4,2,7,4,4,6,3,0,2,3,3,1,2,5,3,4,1,1,3,2,4,1,1,1,0
"CADPS",250,257,87,57,45,67,20,45,47,15,30,39,24,29,23,30,7,2,2,7,6,6,9,2,12,19,9,25,4,15,14,11,7,21,6,27,10,5,11,16,9,4,4,12,15,17,18,15,12,3,6,12,8,12,9,2,4,11,10,2,8,3,0,4,4,4,1,9,8,8,8,4,3,3,6,7,6,8,4,2,4,2
"FNDC1",1,63,11,1,10,1,2,0,0,2,6,10,0,1,7,2,0,0,0,0,0,0,0,1,0,0,4,1,1,2,5,1,0,0,1,0,1,2,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,1,0,4,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"FREM2",31,21,4,7,4,7,3,6,5,3,8,7,0,2,1,1,0,1,0,0,2,0,1,0,3,4,5,6,7,1,17,2,5,1,5,1,7,2,1,10,9,4,4,0,6,6,7,1,17,1,4,3,1,0,2,1,5,0,0,1,7,1,0,1,0,6,0,0,1,0,1,4,5,0,0,1,1,0,3,0,0,1
"INPP5J",50,55,12,5,13,5,3,5,2,0,9,10,4,4,7,1,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"DLEC1",0,3,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,11,7,0,3,0,0,0,1,1,0,1,0,3,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"ACLY",448,255,78,114,59,86,44,71,55,47,48,57,46,38,30,35,15,5,15,14,10,11,6,4,50,56,41,27,25,15,30,12,18,16,29,21,23,20,11,18,20,8,14,18,11,23,12,22,10,14,9,10,14,7,10,10,11,12,10,6,10,6,8,14,7,8,7,6,4,3,3,3,7,4,1,6,6,8,3,6,0,3
"ABCC12",2,8,5,0,1,2,1,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNED1",10,9,0,1,2,0,0,0,1,0,2,1,0,1,2,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"BMPR2",422,280,108,100,67,61,48,60,55,51,50,56,35,21,31,24,11,13,4,8,10,8,7,6,66,61,39,31,29,19,11,14,15,30,14,18,15,31,14,8,9,2,10,14,15,17,2,15,11,19,13,14,11,12,10,5,6,10,9,5,9,4,9,7,5,5,3,8,9,9,10,4,7,4,4,4,7,7,2,6,0,0
"NES",275,188,55,74,41,48,19,67,26,21,34,37,8,33,21,13,11,7,1,0,4,2,5,4,18,58,50,9,19,13,33,39,27,6,36,8,22,24,7,36,33,17,28,9,5,13,17,15,20,15,19,5,9,0,16,8,18,5,1,14,15,12,13,5,4,14,13,1,0,0,4,6,12,4,1,5,2,7,2,1,0,0
"OTOG",3,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ITGA3",69,69,13,5,9,2,6,5,8,3,10,22,2,3,7,4,1,0,0,0,2,0,0,0,3,3,1,2,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,2,2,0,3,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,1
"CCAR1",406,258,104,97,60,66,48,72,55,52,50,46,31,33,29,27,18,6,10,8,11,9,9,8,47,48,38,33,26,30,27,18,19,34,30,22,15,23,17,20,23,10,15,15,14,20,9,17,13,14,11,9,16,8,8,10,9,7,13,11,9,7,7,7,5,7,8,3,8,9,8,10,9,5,5,3,7,8,6,7,0,0
"NRCAM",386,251,75,107,51,68,24,55,49,25,45,53,47,15,23,26,10,4,5,11,11,8,7,1,14,43,22,27,7,24,27,15,13,16,14,14,14,4,7,23,22,4,10,10,8,14,8,15,18,3,7,5,8,11,8,5,2,11,8,4,9,4,5,5,4,8,5,7,3,5,8,4,8,8,4,6,6,5,4,5,0,0
"MAP3K13",399,272,112,103,70,60,58,57,47,63,52,53,40,35,26,22,18,14,10,11,13,8,6,3,41,45,39,17,29,8,25,20,18,10,23,22,19,11,8,10,20,14,15,12,7,18,11,14,14,10,11,9,7,7,9,11,8,5,13,9,11,5,8,7,1,9,7,4,2,3,6,2,9,2,2,3,4,2,4,4,0,0
"UGGT2",153,96,32,46,26,26,33,27,13,24,26,22,3,15,14,7,8,2,2,4,3,2,3,2,21,18,11,8,13,10,9,6,10,7,6,4,4,3,5,7,10,7,6,4,6,8,6,9,9,6,3,1,8,1,4,2,6,4,3,5,3,3,5,1,1,3,3,0,1,4,3,0,5,1,3,1,3,2,1,2,0,0
"EZH1",207,159,59,39,35,26,28,30,24,20,25,31,14,9,22,9,11,3,4,6,2,1,6,5,9,16,12,7,8,6,1,3,4,6,0,1,3,7,3,2,3,2,3,4,4,5,1,3,3,2,0,5,3,5,2,3,0,3,3,1,2,4,0,2,1,1,2,2,2,1,3,1,2,1,1,0,1,2,0,0,0,0
"LPIN1",250,180,52,53,26,19,24,26,25,21,31,30,9,8,14,13,7,3,5,1,3,4,6,4,23,11,11,15,1,10,2,5,6,11,9,5,6,2,5,1,4,0,4,1,10,5,1,5,3,3,1,7,8,3,3,1,1,3,5,3,1,5,1,3,1,3,1,3,6,3,6,1,1,3,4,0,6,5,1,1,0,1
"WNK2",326,190,57,76,49,44,25,48,37,20,28,31,11,15,18,18,10,4,5,3,9,2,5,1,5,24,15,11,6,9,9,4,7,13,6,5,6,3,8,5,5,1,3,10,5,8,1,7,8,0,7,7,7,2,8,2,1,5,4,2,3,3,1,2,2,4,1,2,2,2,2,4,2,2,3,2,3,1,1,1,0,1
"ATP11A",167,75,15,40,16,17,6,29,13,1,10,17,8,9,14,2,4,0,1,2,2,1,5,3,4,6,8,3,2,2,0,3,1,5,4,4,0,16,1,3,4,1,0,2,4,4,2,1,2,4,2,0,2,2,0,2,1,0,1,1,1,1,0,2,0,0,0,1,4,2,2,0,0,1,0,0,1,0,1,0,0,0
"TEX14",8,12,6,1,3,0,0,2,3,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,2,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
"MYPN",0,4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PLXNA1",295,237,54,73,55,46,20,52,44,19,36,43,32,11,26,11,8,3,2,3,8,8,5,2,22,23,16,13,13,8,6,8,7,18,6,9,13,7,6,8,9,4,3,8,8,13,3,3,7,2,5,3,10,6,6,4,1,7,7,5,5,1,2,3,1,3,0,4,5,4,5,2,2,1,1,3,4,3,1,2,0,0
"DLG5",322,190,52,87,38,56,26,58,42,30,30,38,23,16,20,10,6,6,5,7,8,7,9,1,24,39,29,21,18,9,16,13,13,23,15,13,7,7,6,18,18,3,8,10,8,12,4,7,19,4,6,5,3,5,10,11,6,7,11,7,8,7,1,6,4,5,3,6,6,1,8,6,7,4,3,4,2,4,2,3,0,1
"ADGRA3",203,102,10,61,14,18,5,28,21,15,18,27,11,11,12,11,5,4,3,2,5,2,4,0,6,21,24,9,9,4,12,9,9,5,10,3,11,3,4,13,13,2,5,6,7,7,7,7,7,0,3,1,5,1,2,6,1,2,3,2,4,2,4,4,0,2,1,1,4,1,4,3,2,1,0,2,1,3,2,1,0,0
"WDR59",169,133,30,57,28,27,20,24,21,20,26,28,5,6,18,4,2,2,1,1,6,1,3,3,9,19,10,10,9,3,6,2,3,2,3,3,7,8,1,7,5,0,2,3,2,1,2,0,6,2,5,1,3,3,3,2,0,4,1,2,4,2,0,0,1,6,1,4,4,0,2,1,0,2,1,1,1,3,0,2,0,1
"MAGI2",281,228,76,62,52,35,34,33,39,21,29,38,16,5,19,11,8,4,5,7,5,2,2,2,9,29,17,12,7,7,8,4,7,18,6,13,5,6,7,12,10,3,4,5,6,6,4,5,15,0,2,5,4,6,5,6,4,3,4,2,5,5,1,4,2,4,5,5,3,5,5,3,6,1,1,2,5,4,3,0,0,0
"ABCB1",8,15,7,1,3,1,1,4,2,2,3,4,1,0,1,0,1,0,1,1,0,0,0,0,12,1,3,1,11,2,4,1,1,0,6,1,1,28,0,1,3,2,1,0,0,1,4,2,0,10,1,0,2,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
"TEX15",8,16,7,3,6,3,1,11,1,0,2,3,0,6,2,0,0,0,0,1,0,0,0,0,0,6,1,0,0,3,0,0,1,1,1,0,2,1,0,2,1,1,1,0,0,0,1,0,4,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM208B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HECTD1",349,213,80,82,54,52,47,48,40,38,34,41,32,24,24,17,16,6,12,7,9,10,7,6,35,37,26,23,18,15,16,19,15,25,13,15,15,24,7,14,8,7,11,5,5,13,8,17,9,12,5,8,8,6,7,8,8,8,5,3,5,5,8,6,5,4,6,4,8,3,6,4,4,2,6,5,4,4,3,5,14,3
"ANO2",6,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"DHX36",288,171,57,59,31,41,23,46,34,33,27,35,22,18,17,16,9,4,6,5,6,8,8,3,24,33,30,32,16,25,23,9,18,18,12,14,17,14,12,13,12,7,7,8,11,13,5,12,6,4,7,9,11,5,5,9,7,7,8,6,8,7,6,8,6,3,5,6,9,6,8,3,8,5,5,3,4,6,5,3,0,0
"TPCN2",79,70,17,21,11,4,5,4,5,5,12,16,4,2,14,2,4,0,0,0,3,0,1,3,5,5,2,2,2,3,0,0,2,3,1,3,1,1,1,0,1,1,0,0,1,2,0,0,1,0,0,0,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,1,0,1
"GRIA4",87,150,42,18,24,7,12,6,21,5,33,27,1,1,15,2,7,1,1,0,2,0,2,2,5,19,15,31,4,11,2,6,6,16,3,5,5,2,9,0,2,2,3,5,9,17,2,18,3,1,0,5,8,3,1,9,1,5,5,3,3,2,5,6,4,0,4,7,7,2,3,2,2,0,2,1,4,4,0,3,0,0
"FBLN1",471,214,77,115,77,74,60,76,52,61,32,33,56,48,17,30,16,10,14,11,13,12,8,4,37,14,16,3,19,1,29,22,10,4,18,11,8,2,3,19,24,12,10,8,4,7,6,13,2,2,13,3,6,2,1,2,2,4,4,6,7,0,2,4,1,2,3,4,0,2,2,2,8,2,1,2,1,2,1,0,0,1
"TICRR",23,13,1,27,3,6,3,21,3,1,6,0,2,7,1,1,0,0,1,0,1,3,0,0,4,7,4,1,1,0,7,3,4,1,10,0,2,0,1,5,9,2,1,2,0,2,1,3,0,0,0,1,1,0,1,1,2,0,0,3,3,0,1,0,0,1,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"PIK3R4",114,69,11,39,11,12,7,24,13,5,16,14,8,5,7,1,3,1,1,3,4,4,3,0,12,14,8,5,6,4,6,3,3,2,6,2,1,9,1,3,5,2,1,1,4,1,2,3,2,4,3,2,1,2,4,2,2,1,1,0,3,1,0,0,0,2,1,0,1,0,1,1,1,1,0,0,2,1,2,0,1,1
"PKDREJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WWP2",191,120,34,49,20,30,25,30,18,22,17,29,19,10,15,6,3,3,4,3,5,3,6,2,15,17,10,11,5,3,7,5,1,6,8,4,3,7,4,1,4,3,2,1,1,5,1,2,3,1,2,0,3,3,1,4,2,2,4,1,0,0,3,4,0,4,1,1,2,0,2,0,3,1,1,1,0,2,1,0,0,1
"FAM208A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"BAIAP3",12,15,5,1,2,1,3,3,2,0,2,1,1,0,2,0,1,0,1,2,0,0,0,0,5,14,13,8,8,2,1,0,8,4,0,0,3,1,7,6,8,3,1,5,3,1,1,1,5,1,1,1,1,0,3,1,2,1,2,0,0,6,0,0,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,1,3,3
"TJP2",59,27,3,23,6,0,2,12,4,4,4,12,2,4,3,3,3,0,2,0,0,0,3,0,9,12,11,0,6,4,0,4,7,2,5,0,1,13,1,2,4,1,2,1,3,1,0,0,0,5,1,0,0,2,1,0,5,0,2,2,1,7,0,0,0,0,1,1,0,0,2,0,1,3,0,2,0,1,0,0,0,0
"PLCB3",32,28,11,15,2,10,2,12,2,1,5,8,1,3,3,2,3,1,2,0,1,0,1,1,5,2,4,2,2,1,0,1,1,1,0,0,3,4,3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EEA1",183,139,76,50,33,27,29,32,21,21,37,38,16,12,18,7,11,6,6,2,5,3,3,4,25,14,19,12,18,6,4,3,7,12,7,2,3,17,3,4,9,2,2,4,3,6,2,4,7,11,1,1,7,3,6,3,6,3,5,2,1,3,4,1,2,1,2,3,6,2,2,1,0,2,2,1,1,3,1,3,0,0
"TEK",3,25,9,3,3,0,2,3,3,0,1,4,0,0,3,1,0,0,0,0,1,0,0,0,1,3,4,2,5,0,1,0,0,0,0,0,0,21,1,2,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"MAP3K9",193,146,32,42,24,24,11,30,21,16,16,29,11,4,11,6,3,2,0,4,5,4,3,3,5,7,3,4,0,8,5,6,4,12,3,8,1,1,3,2,3,2,1,4,3,7,1,5,2,0,1,0,4,2,1,1,1,3,7,1,2,0,1,2,0,3,0,2,2,4,1,0,1,2,0,2,2,1,0,2,0,1
"HIRA",138,81,18,38,9,7,9,20,21,2,7,14,8,2,13,2,3,0,3,0,2,1,2,1,13,9,5,6,4,1,6,1,4,2,5,3,5,3,5,3,2,4,1,2,0,2,4,1,3,4,1,0,0,5,1,1,1,1,0,0,0,2,1,3,0,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0
"SPTBN4",86,161,26,15,25,10,11,10,11,7,26,24,0,2,17,3,6,1,0,0,2,0,2,2,0,2,4,3,0,2,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA6",106,41,17,54,8,14,3,31,13,7,12,31,0,8,6,2,3,0,3,0,5,2,6,5,4,18,17,6,6,2,14,3,16,4,10,1,2,26,3,19,14,6,2,14,1,2,1,3,6,12,4,1,5,1,8,2,3,0,1,4,6,5,1,1,0,3,3,1,2,4,1,1,4,4,0,7,2,0,1,0,0,2
"INPP5F",393,251,86,90,66,57,39,62,49,53,44,40,26,17,30,15,13,8,6,6,10,9,8,4,21,32,19,32,14,23,16,9,9,25,12,15,8,4,10,11,17,7,11,7,9,9,6,8,3,1,9,9,15,10,7,13,6,8,14,8,8,3,6,9,5,4,9,6,11,3,8,6,10,7,7,2,5,5,2,4,0,0
"TBCD",266,215,53,73,48,33,20,49,23,26,44,46,5,25,24,20,9,5,1,8,7,2,5,7,14,26,25,13,11,4,7,4,9,7,13,5,6,18,7,11,12,5,5,8,7,8,2,8,5,9,4,3,0,5,3,4,5,4,8,3,4,4,5,4,1,3,5,4,4,1,0,4,3,2,0,2,3,4,1,0,0,1
