"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"ALG1",36,31,4,14,1,6,1,7,3,2,5,7,4,1,4,2,3,1,0,1,2,2,1,0,3,6,9,3,5,0,3,0,5,3,0,2,1,3,2,2,3,2,0,2,0,0,0,0,4,2,1,0,0,0,1,1,1,1,2,1,2,0,0,0,0,3,1,2,2,1,1,0,0,1,1,1,1,1,0,0,0,0
"C17orf58",235,161,38,58,36,25,24,32,29,23,32,34,26,19,10,11,8,4,7,5,4,6,4,3,25,11,4,6,10,3,6,3,3,3,4,6,2,1,4,7,4,0,4,3,2,3,2,3,3,0,5,3,1,2,3,1,1,0,2,2,5,1,1,1,1,2,0,2,2,2,2,2,4,2,0,2,1,0,0,3,0,0
"DEFB125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRR29",1,10,2,2,1,0,1,1,0,1,0,4,0,0,2,0,0,0,0,1,1,0,0,0,1,10,10,1,1,0,2,2,3,2,0,0,0,3,2,3,0,1,0,0,0,0,0,1,5,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"SLC48A1",211,130,37,51,31,25,23,28,22,17,35,26,16,11,12,7,11,1,3,5,8,1,5,3,3,8,11,4,2,4,3,3,1,0,0,2,3,3,3,1,2,0,0,1,0,0,1,2,2,2,1,1,0,2,1,4,2,2,1,1,4,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"FADD",93,36,15,35,9,11,7,13,8,11,14,11,12,8,3,9,2,0,3,1,4,4,2,1,8,6,10,2,8,0,9,5,2,2,4,2,3,3,2,5,6,3,2,1,2,4,2,5,3,0,2,1,1,2,3,2,6,1,2,1,0,1,1,0,0,1,0,1,1,0,3,0,2,0,1,2,1,3,0,2,0,0
"DNLZ",144,81,13,42,12,10,4,15,14,8,11,18,7,4,6,4,5,3,2,3,4,2,2,1,8,4,5,4,0,2,1,1,3,2,2,4,2,1,3,2,2,0,1,3,0,2,1,1,3,5,0,0,1,1,2,1,2,3,1,0,1,0,0,0,0,4,1,0,1,0,2,1,0,0,0,1,0,1,1,0,0,0
"LRRC73",24,76,10,7,8,1,2,2,1,1,6,10,1,0,13,0,2,0,0,0,1,0,0,0,2,1,2,2,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"CLEC2B",13,14,9,1,3,1,2,3,1,1,3,4,1,0,2,3,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,2,0,1,0,0,0,7,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35G3",3,2,2,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,1,1,1,0,1,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"BIRC8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCRT1",105,99,23,25,11,14,10,11,14,3,6,13,2,0,7,1,0,0,1,0,0,0,4,0,2,1,2,1,0,2,0,0,0,3,1,5,0,0,1,0,0,0,0,3,2,1,1,1,0,0,1,1,2,1,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0
"HIKESHI",451,231,94,101,56,60,50,65,59,56,50,47,54,39,25,32,18,11,10,15,9,10,9,5,60,52,37,29,30,13,29,21,11,11,30,20,25,17,11,18,20,15,9,16,8,17,13,21,14,7,15,8,11,10,9,8,12,6,5,5,9,7,5,8,6,8,8,8,4,2,7,4,8,4,1,6,4,3,2,6,0,0
"PRR22",18,22,5,4,2,1,1,3,3,0,2,7,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"IFITM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP24-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEC2D",118,95,30,40,31,14,12,20,12,16,22,29,5,5,12,5,3,3,0,1,5,3,3,4,7,16,26,5,11,5,11,6,13,4,10,1,7,6,6,13,10,2,8,6,2,7,4,6,8,3,4,3,4,3,4,6,10,4,3,2,2,3,4,1,1,4,2,1,1,2,1,4,4,1,2,1,2,3,2,1,0,0
"CD80",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGFA",12,18,4,2,4,0,4,2,0,1,5,3,0,0,7,0,1,0,0,1,3,0,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TMEM217",6,4,1,6,1,0,1,1,0,2,2,7,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,2,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCL2A1",6,1,2,1,2,1,2,0,1,0,3,0,3,2,6,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"HACD4",1,2,0,2,0,0,1,1,1,2,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL17A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRXN1",23,42,8,12,6,3,6,4,7,3,4,7,0,1,4,0,1,0,0,1,1,1,3,2,5,5,7,11,3,5,6,1,3,2,1,2,3,4,3,3,2,2,1,1,3,1,0,1,1,2,0,2,1,1,0,1,0,1,1,0,0,0,1,1,0,0,2,1,0,0,1,0,1,2,2,0,1,2,1,0,0,0
"FIBIN",44,40,7,11,11,0,13,1,6,4,29,23,3,0,6,0,15,0,0,0,12,1,1,3,5,26,39,3,3,1,0,0,9,0,0,0,0,7,4,1,0,0,0,0,1,0,0,0,22,1,2,0,0,0,15,4,5,0,0,1,0,1,4,0,0,8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"PTRHD1",335,192,54,98,44,43,23,54,39,40,30,33,36,30,21,17,13,6,10,9,10,11,7,5,21,33,18,9,16,8,19,8,8,3,18,9,12,9,5,10,11,6,8,5,0,7,7,10,4,6,5,7,2,4,9,4,7,3,4,4,3,2,3,5,1,2,6,4,2,1,0,0,5,1,1,2,1,1,1,1,0,0
"CLEC6A",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
