"","real.log.BF"
"TM4SF19",-3.58396178691344
"SLC35D2",-5.5665736033801
"OVCA2",-5.40895410708882
"MTHFS",-6.36950341776137
"SOX5",-6.32923243042178
"AADACL4",-6.38289365886658
"SYT1",-1.9093076767809
"CYLC1",-6.35035435198363
"ZNF76",-7.2715197285207
"EXT1",-8.97593636855323
"NALCN",-10.4344213769184
"PIN1",-7.55362026435698
"RRAGC",-4.69323870544581
"EDAR",-8.11408868008262
"RPL12",-1.02625906102479
"EAF1",-5.0456627522747
"LSM1",-5.63856896387847
"TMEM91",-3.46048689304516
"SPDYC",-6.4294576439072
"IFI30",-9.54817410971573
"BTBD2",-7.06364525788797
"OVOL1",-6.41260301388527
"EDF1",-2.7732178939358
"ZNF346",-4.18183674528905
"TM4SF1",-6.18319982865136
"TSSC4",-7.96025594344875
"TMEM147",-9.74306877362602
"YRDC",-5.54734770404076
"WFS1",-9.39492136000177
"PSD3",-3.42893602047017
"NET1",-6.26435843444948
"OBP2A",-6.38814246842474
"ORM1",-6.39303401800136
"BNIP1",-6.70371221767508
"CD163L1",-7.35103444331836
"TIGAR",-7.76139162610999
"ZC3H8",-2.40850349612219
"PDCD1",-6.43584004063682
"KAZN",-4.74753229606103
"CLEC3A",-6.46031607652952
"UBE2J2",-7.16540518602169
"DEK",-4.33370920403914
"PPP1R3D",-5.68481758562368
"HIST1H4F",-6.79643733267611
"DCAF11",-9.34279103540234
"ADCY5",-7.43305789187056
"MYOZ2",-6.91005217349071
"HAVCR1",-3.54860139819197
"TRAM1L1",-6.39605990244128
"RPUSD1",-5.02053988871839
"KIR2DL3",-6.42985803147368
"LYPD5",-6.42602884716412
"ACBD6",-8.73252327092916
"SYT7",5.0158814523484
"APOL4",-6.76947184691333
"NKIRAS1",-4.75678690810341
"LRRC4C",-4.0086496221491
"KDM1B",-4.36761951006342
"NCCRP1",-6.48526743449574
"MRPL52",-6.85067194477767
"MRPL14",-7.25073582079355
"GCNT7",-6.96581972672111
"CPD",-5.69329230100304
"PRPS1L1",-7.22291296773345
"TMBIM6",0.453919104143957
"METTL26",-6.51662719299064
"RNASEH2A",-8.15412482190146
"NECAP1",-1.52119747080732
"BPIFB3",-6.47236808859098
"ZFP36L2",-7.48448994017443
"ABHD12B",-6.87567307316129
"EFCAB2",-3.24510950578747
"CCNO",-6.50894469617685
"PAFAH1B3",-4.52189709264645
"ASCL4",-6.6248191629144
"RSC1A1",-6.50725364696301
"CCT7",-6.65759049329441
"TMEM82",-6.55705483226566
"NPBWR1",-6.63033862680904
"IGFBP2",-5.71247003991418
"CDC42EP4",-5.80923749742421
"DTYMK",-8.91644598074813
"STAP1",-6.54958239888575
"GNB2",0.705394521685256
"MFSD3",-6.48314438167973
"PAK1IP1",-5.86433263334212
"RPL15",4.74546849254921
"LRRC14",-5.95984053486107
"DSCAML1",-7.1866137954528
"EEF2",-3.34772540610218
"N4BP2L1",-6.9759836921934
"ITGB1BP1",-6.66754497754523
"PCGF3",-2.93143571014979
"FERMT2",-2.04599810534377
"TRIML1",-6.55712613166283
"EIF4E3",-5.83097707323326
"CADM2",-2.26876496315349
"RTL3",-6.5327848657519
"PPP4R2",-4.62842198587528
"GRIK2",-0.229878040228937
"MCHR2",-6.42016456040204
"TUSC1",-6.44133480699444
"GPR171",-6.82212933648363
"VWA7",-8.23889485158786
"IGF2",-6.66775910885076
"H3F3B",-0.99039332428416
"SLC35A5",-2.3248571416863
"PDGFC",-6.35489812851052
"ARHGEF7",-3.41491819191708
"IDH3G",-7.49594485412303
"SPC25",-9.94502812237455
"NIFK",-2.26502836954576
"SULT1B1",-6.59868371669438
"CRIP2",-4.58080936221978
"XXYLT1",-2.95678615666149
"TMEM45A",-6.4098557357966
"CACNA2D3",-7.84913104353457
"RASGEF1B",-7.19589908597622
"SCGN",-7.69752992502372
"FAS",-6.50404753904541
"PPA2",-4.16657325228197
"THEGL",-6.55932795516317
"C6orf106",-5.53256418455301
"PCDHB4",-3.97163339977459
"SORD",-7.13893419314285
"THOC7",-8.29363522570908
"PLVAP",-8.56481233838843
"XKR3",-6.55265111357573
"CDH10",-6.33455342727067
"APH1A",-6.98700393985503
"GTF2I",-6.32366881998259
"SLC35G1",-7.00458553712505
"IPP",-7.68979320003528
