"","genes","HGNC","conditions","group","labels"
"265","CES4A","CES4A","control.LGD","control.LGD",""
"266","ESRP2","ESRP2","control.LGD","control.LGD",""
"267","HPR","HPR","control.LGD","control.LGD",""
"268","CENPN","CENPN","control.LGD","control.LGD",""
"269","MYO1C","MYO1C","control.LGD","control.LGD",""
"270","ANKFY1","ANKFY1","control.LGD","control.LGD",""
"271","MYH10","MYH10","control.LGD","control.LGD",""
"272","PIPOX","PIPOX","control.LGD","control.LGD",""
"273","MYO18A","MYO18A","control.LGD","control.LGD",""
"274","SLFN11","SLFN11","control.LGD","control.LGD",""
"275","SLFN13","SLFN13","control.LGD","control.LGD",""
"276","GPR179","GPR179","control.LGD","control.LGD",""
"277","KRTAP9-8","KRTAP9-8","control.LGD","control.LGD",""
"278","ARHGAP27","ARHGAP27","control.LGD","control.LGD",""
"279","SKA2","SKA2","control.LGD","control.LGD",""
"280","APPBP2","APPBP2","control.LGD","control.LGD",""
"281","TEX2","TEX2","control.LGD","control.LGD",""
"282","USP36","USP36","control.LGD","control.LGD",""
"283","CSNK1D","CSNK1D","control.LGD","control.LGD",""
"284","ZNF750","ZNF750","control.LGD","control.LGD",""
"285","EPB41L3","EPB41L3","control.LGD","control.LGD",""
"286","PIEZO2","PIEZO2","control.LGD","control.LGD",""
"287","ZNF407","ZNF407","control.LGD","control.LGD",""
"288","NFIC","NFIC","control.LGD","control.LGD",""
"289","EBI3","EBI3","control.LGD","control.LGD",""
"290","SH3GL1","SH3GL1","control.LGD","control.LGD",""
"291","ZNF20","ZNF20","control.LGD","control.LGD",""
"292","WDR62","WDR62","control.LGD","control.LGD",""
"293","ZNF230","ZNF230","control.LGD","control.LGD",""
"294","CCDC114","CCDC114","control.LGD","control.LGD",""
"295","MAMSTR","MAMSTR","control.LGD","control.LGD",""
"296","IZUMO1","IZUMO1","control.LGD","control.LGD",""
"297","ZNF468","ZNF468","control.LGD","control.LGD",""
"298","NLRP7","NLRP7","control.LGD","control.LGD",""
"299","NAA20","NAA20","control.LGD","control.LGD",""
"300","RPRD1B","RPRD1B","control.LGD","control.LGD",""
"301","LTN1","LTN1","control.LGD","control.LGD",""
"302","MX2","MX2","control.LGD","control.LGD",""
"303","AGPAT3","AGPAT3","control.LGD","control.LGD",""
"304","ADARB1","ADARB1","control.LGD","control.LGD",""
"305","LSS","LSS","control.LGD","control.LGD",""
"306","PCNT","PCNT","control.LGD","control.LGD",""
"307","IL17RA","IL17RA","control.LGD","control.LGD",""
"308","LZTR1","LZTR1","control.LGD","control.LGD",""
"309","UPB1","UPB1","control.LGD","control.LGD",""
"310","TEX33","TEX33","control.LGD","control.LGD",""
"311","SAMM50","SAMM50","control.LGD","control.LGD",""
"312","USP51","USP51","control.LGD","control.LGD",""
"313","ATRX","ATRX","control.LGD","control.LGD",""
