,week_10:hPeric,week_10:hRgl2a,week_11:hRgl2a,week_10:Unk,week_11:hPeric,week_9:Unk,week_6:hProgFPM,week_8:Unk,week_11:hRgl2b,week_9:hGaba,week_6:hProgBP,week_8:hNbM,week_8:hNProg,week_11:hEndo,week_11:Unk,week_6:hProgM,week_6:hProgFPL,week_6:Unk,week_8:hProgBP,week_8:hNbML1,week_9:hNbML5,week_8:hOMTN,week_6:hNProg,week_6:hOMTN,week_11:hRgl3,week_10:hEndo,week_8:hProgFPM,week_8:hRN,week_9:hOMTN,week_10:hDA2,week_10:hRgl3,week_11:hOPC,week_11:hRgl2c,week_10:hNbM,week_10:hDA1,week_9:hProgBP,week_8:hProgM,week_10:hRgl2b,week_7:hRgl2a,week_7:hOMTN,week_7:Unk,week_10:hRgl1,week_7:hProgBP,week_10:hDA0,week_9:hNbGaba,week_9:hDA0,week_9:hDA1,week_9:hNProg,week_8:hProgFPL,week_9:hRgl2a,week_9:hDA2,week_6:hNbML1,week_9:hNbM,week_9:hNbML1,week_6:hNbM,week_10:hGaba
EIF1,113,92,68,60,68,34,56,41,37,24,41,41,39,42,26,36,33,28,26,25,22,28,23,26,24,24,21,18,15,19,18,18,18,19,17,12,18,17,15,15,9,16,11,12,10,14,11,7,12,8,6,11,7,8,10,8
HAP1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JUP,6,20,9,17,7,9,11,11,4,8,12,14,10,29,9,8,6,5,6,14,8,19,5,19,2,19,5,6,9,10,5,1,2,10,10,1,3,2,0,11,2,2,2,8,4,8,5,5,2,2,4,5,3,8,5,3
LEPREL4,13,27,31,4,5,3,8,2,8,3,5,1,1,10,4,10,3,2,7,1,2,1,0,1,12,3,1,1,3,2,5,2,3,2,1,1,1,0,0,2,0,5,1,2,2,0,2,1,2,4,2,1,2,1,0,2
FKBP10,11,13,15,1,13,2,7,4,5,0,6,1,1,6,3,4,3,0,5,0,1,0,3,1,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2
NT5C3B,9,19,11,9,6,5,11,4,5,7,3,8,1,4,4,9,9,3,4,9,4,4,1,8,3,2,7,4,9,4,3,2,3,4,2,2,1,1,3,6,3,2,0,1,1,1,4,2,2,2,1,0,1,4,1,3
KLHL11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACLY,50,56,41,27,25,15,30,12,18,16,29,21,23,20,11,18,20,8,14,18,11,23,12,22,10,14,9,10,14,7,10,10,11,12,10,6,10,6,8,14,7,8,7,6,4,3,3,3,7,4,1,6,6,8,3,6
TTC25,4,10,14,2,1,1,5,1,5,2,1,1,2,0,3,7,2,0,0,1,0,2,0,3,2,3,0,2,1,0,1,1,0,1,2,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
CNP,33,49,49,10,31,8,13,9,17,7,16,11,7,17,12,6,7,7,11,7,3,11,2,7,12,11,4,1,5,3,8,11,10,4,7,4,3,6,5,1,1,7,5,4,6,2,1,3,6,5,2,2,0,1,2,2
DNAJC7,42,42,38,25,21,12,26,11,16,7,22,7,8,15,12,18,16,11,8,11,6,11,10,12,9,10,8,4,6,13,8,11,9,7,10,3,5,4,3,2,5,5,2,6,4,2,5,1,5,1,2,4,2,3,4,3
NKIRAS2,23,21,23,22,17,9,12,8,8,6,12,14,11,9,10,10,14,3,6,9,5,15,5,16,10,6,5,7,5,4,4,2,2,4,6,5,7,2,2,2,6,4,0,3,5,6,7,4,3,1,1,3,1,4,1,3
ZNF385C,2,1,1,2,3,3,0,1,1,2,1,0,0,2,3,0,0,0,0,1,0,2,0,1,2,0,2,1,0,1,0,0,1,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DHX58,1,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAT2A,21,24,23,14,13,5,4,4,16,2,4,4,4,13,10,6,5,2,2,2,0,5,3,2,9,5,1,2,6,3,2,6,5,1,1,4,1,4,3,4,1,3,1,4,0,0,1,1,1,5,1,1,1,2,2,3
HSPB9,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB5C,62,49,41,33,34,7,21,11,18,8,12,9,10,21,9,14,11,9,9,11,1,7,8,10,14,16,5,4,8,7,11,11,9,8,10,2,6,5,4,4,3,8,2,5,1,1,2,1,4,5,1,3,0,1,4,3
KCNH4,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
HCRT,1,0,1,1,0,0,0,0,2,0,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GHDC,2,7,4,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,1,1
STAT5B,17,26,19,11,17,6,11,11,7,7,11,7,7,9,6,8,10,5,5,9,5,10,5,5,6,7,2,5,6,6,3,2,1,5,5,3,2,6,5,3,3,3,3,1,4,3,4,2,3,3,1,3,2,4,0,0
