,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
LINC00881,2,0,0,3,0,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
LINC00882,21,19,2,3,5,0,3,1,2,1,3,1,1,0,0,0,1,0,0,0,1,1,1,0
LINC00883,85,52,11,23,10,9,2,11,8,3,9,11,2,0,1,2,3,1,3,1,0,2,2,0
LINC00884,3,1,2,1,1,1,5,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0
LINC00885,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
LINC00886,0,3,2,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
LINC00887,58,26,13,13,6,4,5,13,7,4,4,5,6,4,2,3,1,1,0,0,3,0,1,0
LINC00888,217,88,31,53,17,26,12,22,27,13,18,16,11,10,9,15,9,2,3,2,9,3,5,2
LINC00889,78,79,19,7,19,4,7,5,8,6,7,15,2,4,8,2,3,1,1,1,4,0,2,1
LINC00890,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
LINC00891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00892,1,5,3,2,2,0,0,0,0,0,0,1,0,0,10,0,0,0,0,3,0,0,3,0
LINC00893,16,19,4,3,0,1,1,0,2,2,1,1,0,0,2,0,0,0,0,0,0,1,1,0
LINC00894,5,3,2,0,0,1,1,4,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,2
LINC00895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00899,11,8,5,8,1,0,5,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
LINC00900,12,6,1,4,1,0,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
LINC00901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00904,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00906,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00907,171,118,32,33,19,21,20,36,20,15,20,22,11,8,14,12,2,1,4,1,1,3,6,0
LINC00908,8,3,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
LINC00909,181,109,38,60,25,15,19,23,19,16,21,22,11,8,10,9,6,5,4,5,7,5,3,1
LINC00910,42,47,13,12,5,11,4,8,9,7,6,10,5,4,5,2,0,0,1,0,2,1,1,0
